id,identification,DangerLevel,Date,Name,漏洞状态,人气,漏洞描述,CVSS评分,评分详细信息,漏洞类型
13,CVE-2020-26292,高危,2021-01-04,Chatter Social Creeper 安全漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,14,ChatterSocialCreeper是ChatterSocial个人开发者的一款基于Python的动态解释性语言。Creeper1.1.3版本存在安全漏洞，该漏洞源于二进制文件包含潜在的恶意软件。,7.5,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:部分 可用性影响:部分 ,"CWE-507,"
14,CVE-2020-35219,高危,2021-01-04,ASUS DSL-N17U 授权问题漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,77,ASUSDSL-N17U是中国华硕（ASUS）公司的一款路由器ASUSDSL-N17Umodemwithfirmware1.1.0.2存在授权问题漏洞，该漏洞允许不经过认证的攻击者通过修改admin密码。,10.0,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:完全 完整性影响:完全 可用性影响:完全 ,"CWE-862,"
15,CVE-2019-25013,低危,2021-01-04,GNU C Library 缓冲区错误漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,131,GNUCLibrary（glibc，libc6）是一种按照LGPL许可协议发布的开源免费的C语言编译程序。GNUCLibrarythrough2.32存在缓冲区错误漏洞，该漏洞源于在处理无效的EUC-KR编码的多字节输入序列时错误处理。,5.0,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:无 可用性影响:无 ,"CWE-125,CVE,overflow,vulnerability,"
16,CVE-2020-36155,高危,2021-01-04,WordPress 安全漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,101,WordPress是WordPress（Wordpress）基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。UltimateMemberplugin是使用在其中的一款用于创建会员网站或在线社区的插件。UltimateMemberpluginbefore2.1.12forWordPress存在安全漏洞，攻击者可利用该漏洞可以为敏感元数据提供数组参数。,7.5,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:部分 可用性影响:部分 ,"CWE-269,"
17,CVE-2020-36156,中危,2021-01-04,Ultimate Member plugin before  for WordPress 安全漏洞,中文数据:暂无 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,91,WordPress是WordPress（Wordpress）基金会的一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。UltimateMemberpluginbefore2.1.12forWordPress存在安全漏洞，攻击者可利用该漏洞提升权限。,6.5,攻击向量:网络 攻击复杂度:低 身份认证:单一 机密性影响:部分 完整性影响:部分 可用性影响:部分 ,"CWE-269,"
18,CVE-2020-36157,高危,2021-01-04,An issue was discovered in the Ultimate Member......,中文数据:暂无 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,106,"AnissuewasdiscoveredintheUltimateMemberpluginbefore2.1.12forWordPress,akaUnauthenticatedPrivilegeEscalationviaUserRoles.Duetothelackoffilteringontheroleparameterthatcouldbesuppliedduringtheregistrationprocess,anattackercouldsupplytheroleparameterwithaWordPresscapability(oranycustomUltimateMemberrole)andeffectivelybegrantedthoseprivileges.",7.5,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:部分 可用性影响:部分 ,"CWE-269,"
19,CVE-2020-24386,中危,2021-01-04,Dovecot是一款开源的基于类Linu...,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,362,Dovecot是一款开源的基于类Linux/UNIX系统的IMAP和POP3邮件服务器。Dovecotbefore2.3.13存在安全漏洞，攻击者可利用该漏洞控制的参数触发解除休眠，从而访问其他用户的电子邮件消息。,6.5,攻击向量:网络 攻击复杂度:低 身份认证:单一 机密性影响:部分 完整性影响:部分 可用性影响:部分 ,"os,CVE,remote,denialofservice,imap,bypass,vulnerability,"
20,CVE-2020-25275,低危,2021-01-04,Dovecot 安全漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,438,Dovecot是一款开源的基于类Linux/UNIX系统的IMAP和POP3邮件服务器。Dovecotbefore2.3.13存在安全漏洞，该漏洞源于不正确的输入验证，攻击者可利用该漏洞通过一个精心制作的电子邮件消息导致应用程序崩溃。,5.0,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:无 完整性影响:无 可用性影响:部分 ,"CWE-20,os,CVE,remote,denialofservice,imap,vulnerability,"
21,CVE-2020-22550,低危,2021-01-04,VFM Veno File Manager 路径遍历漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,88,VFMVenoFileManager是意大利VFM公司的一套社会计划管理解决方案。VenoFileManager3.5.6存在路径遍历漏洞，该漏洞允许攻击者可利用该漏洞从服务器下载敏感文件。,5.0,攻击向量:网络 攻击复杂度:低 身份认证:无 机密性影响:部分 完整性影响:无 可用性影响:无 ,"CWE-22,"
22,CVE-2020-35493,低危,2021-01-04,GNU binutils 安全漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,320,GNUBinutils（GNUBinaryUtilities或binutils）是GNU社区的开发的一组编程语言工具程序。该程序主要用于处理多种格式的目标文件，并提供有连接器、汇编器和其他用于目标文件和档案的工具。binutils2.34之前版本存在安全漏洞，攻击者可利用该漏洞可能会导致堆缓冲区溢出。,4.3,攻击向量:网络 攻击复杂度:中 身份认证:无 机密性影响:无 完整性影响:无 可用性影响:部分 ,"CWE-122,CWE-125,CWE-20,linuxnetwork,os,"
23,CVE-2020-35494,中危,2021-01-04,GNU Binutils 安全漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,317,GNUBinutils（GNUBinaryUtilities或binutils）是GNU社区的开发的一组编程语言工具程序。该程序主要用于处理多种格式的目标文件，并提供有连接器、汇编器和其他用于目标文件和档案的工具。binutils2.34之前版本存在安全漏洞，攻击者可利用该漏洞导致未初始化内存的使用。,5.8,攻击向量:网络 攻击复杂度:中 身份认证:无 机密性影响:部分 完整性影响:无 可用性影响:部分 ,"CWE-908,linuxnetwork,os,"
24,CVE-2020-35495,低危,2021-01-04,GNU binutils 安全漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,311,GNUBinutils（GNUBinaryUtilities或binutils）是GNU社区的开发的一组编程语言工具程序。该程序主要用于处理多种格式的目标文件，并提供有连接器、汇编器和其他用于目标文件和档案的工具。binutils存在安全漏洞，攻击者可利用该漏洞可能会导致空指针解引用。,4.3,攻击向量:网络 攻击复杂度:中 身份认证:无 机密性影响:无 完整性影响:无 可用性影响:部分 ,"CWE-476,linuxnetwork,os,"
25,CVE-2020-35496,低危,2021-01-04,GNU Binutils 代码问题漏洞,中文数据:有 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,245,GNUBinutils（GNUBinaryUtilities或binutils）是GNU社区的开发的一组编程语言工具程序。该程序主要用于处理多种格式的目标文件，并提供有连接器、汇编器和其他用于目标文件和档案的工具。GNUBinutils2.34之前版本存在安全漏洞，攻击者可利用该漏洞提交一个制作好的文件，从而导致空指针解引用。,4.3,攻击向量:网络 攻击复杂度:中 身份认证:无 机密性影响:无 完整性影响:无 可用性影响:部分 ,"CWE-476,linuxnetwork,os,"
26,CVE-2020-35507,低危,2021-01-04,GNU binutils 安全漏洞,中文数据:暂无 漏洞利用代码:暂无 漏洞细节:有 漏洞载体:有 漏洞检测脚本:有 ,278,GNUBinutils（GNUBinaryUtilities或binutils）是GNU社区的开发的一组编程语言工具程序。该程序主要用于处理多种格式的目标文件，并提供有连接器、汇编器和其他用于目标文件和档案的工具。binutils存在安全漏洞，该漏洞源于bfd/pef.cbfd_pef_parse_function_stubs存在缺陷，攻击者可利用该漏洞导致空指针解引用。,4.3,攻击向量:网络 攻击复杂度:中 身份认证:无 机密性影响:无 完整性影响:无 可用性影响:部分 ,"CWE-476,linuxnetwork,os,"
